id,type,mode,workdir,command,raw_tok,rtk_tok,prism_tok,raw_bytes,rtk_bytes,prism_bytes,raw_lines,rtk_lines,prism_lines,raw_ms,rtk_ms,prism_ms,rtk_pct,prism_pct,rtk_exit,prism_exit
001,git,cmd,prism,"git status",261,120,120,899,381,381,33,23,23,15,50,581,54.0,54.0,0,0
002,git,cmd,prism,"git log --oneline -20",410,403,410,1554,1522,1554,20,20,20,14,23,564,1.7,0.0,0,0
003,git,cmd,prism,"git log -5",429,160,164,1165,584,564,29,5,6,13,24,587,62.7,61.8,0,0
004,git,cmd,prism,"git log --stat -3",506,201,283,1704,786,794,39,15,20,29,35,627,60.3,44.1,0,0
005,git,cmd,prism,"git diff HEAD~3 HEAD",9143,8122,8064,34553,30284,30679,647,529,633,20,43,1138,11.2,11.8,0,0
006,git,cmd,prism,"git show HEAD",2400,2136,2112,9011,7798,8092,202,162,194,18,49,927,11.0,12.0,0,0
007,git,cmd,prism,"git branch -a",10,3,10,29,7,29,2,1,2,9,25,894,70.0,0.0,0,0
008,git,cmd,prism,"git log --graph --oneline -15",323,323,323,1182,1182,1182,16,16,16,12,25,592,0.0,0.0,0,0
009,git,cmd,prism,"git diff --stat HEAD~5 HEAD",166,165,135,683,682,331,14,14,14,18,37,621,0.6,18.7,0,0
010,git,cmd,prism,"git status --short --branch",120,120,120,382,381,382,23,23,23,11,36,703,0.0,0.0,0,0
011,grep,cmd,prism,"grep -rn pub fn src/",4112,4112,3665,13315,13315,10994,173,173,196,19,29,735,0.0,10.9,0,0
012,grep,cmd,prism,"grep -rn fn filter src/",2717,2717,2409,9087,9087,7538,109,109,124,11,27,833,0.0,11.3,0,0
013,grep,cmd,prism,"grep -rn use  src/",4102,3243,2788,13955,10765,8507,223,204,238,13,36,764,20.9,32.0,0,0
014,grep,cmd,prism,"grep -rn Result src/",2853,2853,2575,9764,9764,8404,120,120,142,16,27,720,0.0,9.7,0,0
015,grep,cmd,prism,"grep -rn async src/",2109,2109,1901,7352,7352,6301,91,91,106,12,23,834,0.0,9.9,0,0
016,grep,cmd,prism,"grep -rn String src/",25121,4210,3233,85342,14239,10173,1139,209,220,13,34,658,83.2,87.1,0,0
017,grep,cmd,prism,"grep -rn impl src/",1124,1124,1005,4060,4060,3328,60,60,82,12,29,635,0.0,10.6,0,0
018,grep,cmd,prism,"rg -n serde src/",4509,3037,2677,15487,10128,8434,211,157,178,29,27,761,32.6,40.6,0,0
019,grep,cmd,prism,"rg -n match src/",10348,4402,3760,36187,14622,11592,449,207,230,13,39,774,57.5,63.7,0,0
020,grep,cmd,prism,"rg -n tokio src/",1047,817,767,3293,2373,2144,45,38,46,15,36,654,22.0,26.7,0,0
021,find,cmd,prism,"find . -name *.rs",1285,107,113,3696,401,436,85,6,6,851,23,756,91.7,91.2,0,0
022,find,cmd,prism,"find src -type f",194,99,101,642,379,393,38,5,4,8,24,894,49.0,47.9,0,0
023,find,cmd,prism,"find . -name *.toml",12,3,12,34,10,34,2,0,2,96,18,648,75.0,0.0,0,0
024,find,cmd,prism,"find . -name *.md",84,26,64,242,74,215,10,4,6,95,18,647,69.0,23.8,0,0
025,find,cmd,prism,"find . -maxdepth 2 -type d",125,26,65,358,94,235,28,8,8,9,24,561,79.2,48.0,0,0
026,find,cmd,prism,"find src -name *.rs -size +10k",146,29,80,498,103,306,28,1,4,8,11,623,80.1,45.2,1,0
027,find,cmd,prism,"find target/debug -maxdepth 1 -type f",32,17,19,116,38,65,5,3,1,8,21,666,46.9,40.6,0,0
028,find,cmd,prism,"find . -name *.json -not -path ./target/*",791,29,657,1704,103,1283,22,1,5,129,11,932,96.3,16.9,1,0
029,find,cmd,prism,"find extensions -type f",24,17,23,98,64,83,3,2,3,8,21,711,29.2,4.2,0,0
030,find,cmd,learn,"find prism-hub -maxdepth 3 -type d",9161,54,151,32666,237,578,826,8,15,30,20,886,99.4,98.4,0,0
031,ls,cmd,prism,"ls -la",882,206,204,1812,463,461,26,23,23,9,23,620,76.6,76.9,0,0
032,ls,cmd,prism,"ls -la src",761,216,214,1634,426,424,24,21,21,8,24,649,71.6,71.9,0,0
033,ls,cmd,prism,"ls -la target/debug",426,80,78,918,182,180,13,10,10,9,27,583,81.2,81.7,0,0
034,ls,cmd,learn,"ls -la",4297,888,888,9032,2274,2274,119,116,116,15,25,761,79.3,79.3,0,0
035,ls,cmd,prism,"ls -laR src",1554,433,443,3249,824,857,54,40,43,9,24,633,72.1,71.5,0,0
036,ls,cmd,prism,"ls -la extensions",100,4,4,201,13,13,4,1,1,8,24,781,96.0,96.0,0,0
037,ls,cmd,prism,"ls -la scripts",216,47,47,438,103,103,7,4,4,9,27,633,78.2,78.2,0,0
038,ls,cmd,usr,"ls -la /usr/bin",57558,27832,2408,137033,58398,5181,2037,2033,202,108,49,665,51.6,95.8,0,0
039,ls,cmd,anshukushwaha,"ls -la .cargo/bin",612,185,133,1356,409,357,18,15,15,16,27,967,69.8,78.3,0,0
040,ls,cmd,anshukushwaha,"ls -la .claude",1043,224,220,2276,596,591,31,28,28,16,23,747,78.5,78.9,0,0
041,docker,cmd,prism,"docker ps",119,67,62,477,189,176,3,3,3,41,93,604,43.7,47.9,0,0
042,docker,cmd,prism,"docker ps -a",586,405,420,2411,936,998,13,14,14,48,97,731,30.9,28.3,0,0
043,docker,cmd,prism,"docker images",2503,727,1302,9672,1845,2977,93,53,93,76,136,837,71.0,48.0,0,0
044,docker,cmd,prism,"docker network ls",143,143,59,540,540,203,9,9,7,33,58,682,0.0,58.7,0,0
045,docker,cmd,prism,"docker volume ls",3166,3166,2048,9526,9526,6772,251,251,204,56,65,692,0.0,35.3,0,0
046,docker,cmd,prism,"docker stats --no-stream",149,149,128,347,347,260,3,3,3,1193,2020,2597,0.0,14.1,0,0
047,docker,cmd,prism,"docker logs --tail 100 conman-server",5849,5849,3576,13623,13623,8528,100,100,61,57,126,782,0.0,38.9,0,0
048,docker,cmd,prism,"docker version",275,275,118,769,769,298,27,27,2,62,65,712,0.0,57.1,0,0
049,docker,cmd,prism,"docker info",544,544,120,1652,1652,324,68,68,16,224,123,1201,0.0,77.9,0,0
050,docker,cmd,prism,"docker inspect conman-server",4272,4272,3030,15285,15285,8049,325,325,164,49,50,712,0.0,29.1,0,0
051,cargo,cmd,prism,"cargo check --offline",53,29,10,153,100,24,2,2,1,3962,597,1489,45.3,81.1,0,0
052,cargo,cmd,prism,"cargo build --offline",53,29,10,153,100,24,2,2,1,6712,5876,1791,45.3,81.1,0,0
