id,type,mode,workdir,command,raw_tok,rtk_tok,prism_tok,raw_bytes,rtk_bytes,prism_bytes,raw_lines,rtk_lines,prism_lines,raw_ms,rtk_ms,prism_ms,rtk_pct,prism_pct,rtk_exit,prism_exit
101,git,cmd,prism,"git stash list",0,0,0,0,0,0,0,0,0,10,24,603,0.0,0.0,0,0
102,git,cmd,prism,"git remote -v",30,30,12,101,101,43,2,2,1,9,21,565,0.0,60.0,0,0
103,git,cmd,prism,"git blame -L 1,40 src/main.rs",1472,1472,491,3206,3206,1446,40,40,48,20,22,600,0.0,66.6,0,0
104,git,cmd,prism,"git show --stat HEAD",138,138,77,442,442,220,10,10,4,12,25,985,0.0,44.2,0,0
105,git,cmd,prism,"git diff HEAD~1 -- src/proxy.rs",13126,5838,12722,50062,22016,48404,1216,509,1213,17,34,1055,55.5,3.1,0,0
106,git,cmd,prism,"git shortlog -sn",0,0,0,0,0,0,0,0,0,8,20,653,0.0,0.0,0,0
107,git,cmd,prism,"git reflog -10",145,145,145,514,514,514,5,5,5,12,27,576,0.0,0.0,0,0
108,git,cmd,prism,"git worktree list",28,19,28,69,50,69,1,1,1,9,19,633,32.1,0.0,0,0
109,git,cmd,prism,"git log --format=%h_%s -10",213,213,213,816,816,816,10,10,10,13,16,695,0.0,0.0,0,0
110,git,cmd,prism,"git status -sb",123,123,123,395,394,395,24,24,24,33,25,590,0.0,0.0,0,0
111,gh,cmd,prism,"gh repo view deziss/prism",2792,29,247,12145,78,1157,246,4,14,1292,839,1837,99.0,91.2,0,0
112,gh,cmd,prism,"gh pr list -R rtk-ai/rtk --limit 20",904,502,797,2613,1648,2493,20,21,20,1120,954,1660,44.5,11.8,0,0
113,gh,cmd,prism,"gh issue list -R rtk-ai/rtk --limit 30",1532,479,1354,4812,1573,4622,30,23,30,930,909,2093,68.7,11.6,0,0
114,gh,cmd,prism,"gh api repos/rtk-ai/rtk",1896,1896,1892,6168,6168,5906,0,0,148,748,856,1410,0.0,0.2,0,0
115,gh,cmd,prism,"gh run list -R rtk-ai/rtk --limit 10",566,128,566,1825,404,1825,10,11,10,1482,1413,2453,77.4,0.0,0,0
116,gh,cmd,prism,"gh release list -R rtk-ai/rtk --limit 10",400,400,350,690,690,620,10,10,10,785,909,1357,0.0,12.5,0,0
117,cargo,cmd,prism,"cargo metadata --format-version 1",590719,590719,3416,2026697,2026697,10421,1,1,302,447,433,1142,0.0,99.4,0,0
